index,가게명,음식종류,태그리뷰
23,미스터카츠 숙대입구점,돈가스,"[{'""음식이 맛있어요""': 638}, {'""혼밥하기 좋아요""': 300}, {'""양이 많아요""': 240}, {'""친절해요""': 214}, {'""가성비가 좋아요""': 201}, {'""재료가 신선해요""': 172}, {'""매장이 청결해요""': 114}, {'""특별한 메뉴가 있어요""': 67}, {'""뷰가 좋아요""': 51}, {'""인테리어가 멋져요""': 46}, {'""매장이 넓어요""': 26}, {'""아늑해요""': 24}, {'""메뉴 구성이 알차요""': 21}, {'""단체모임 하기 좋아요""': 11}, {'""차분한 분위기에요""': 10}, {'""화장실이 깨끗해요""': 8}, {'""음식이 빨리 나와요""': 7}, {'""대화하기 좋아요""': 7}, {'""고기 질이 좋아요""': 5}, {'""환기가 잘 돼요""': 5}, {'""잡내가 적어요""': 4}, {'""음악이 좋아요""': 3}, {'""반찬이 잘 나와요""': 2}, {'""특별한 날 가기 좋아요""': 2}, {'""건강한 맛이에요""': 2}, {'""좌석이 편해요""': 1}, {'""아이와 가기 좋아요""': 1}, {'""야외공간이 멋져요""': 1}, {'""주차하기 편해요""': 1}, {'""반려동물과 가기 좋아요""': 1}, {'""비싼 만큼 가치있어요""': 1}, {'""오래 머무르기 좋아요""': 1}]"
24,하마,"백반,가정식","[{'""음식이 맛있어요""': 78}, {'""반찬이 잘 나와요""': 29}, {'""혼밥하기 좋아요""': 27}, {'""가성비가 좋아요""': 20}, {'""양이 많아요""': 16}, {'""재료가 신선해요""': 14}, {'""친절해요""': 13}, {'""매장이 넓어요""': 10}, {'""매장이 청결해요""': 4}, {'""인테리어가 멋져요""': 2}, {'""메뉴 구성이 알차요""': 2}, {'""특별한 날 가기 좋아요""': 2}, {'""단체모임 하기 좋아요""': 2}, {'""화장실이 깨끗해요""': 2}, {'""차분한 분위기에요""': 1}, {'""음식이 빨리 나와요""': 1}, {'""건강한 맛이에요""': 1}, {'""뷰가 좋아요""': 1}]"
25,쥬케로카페 숙대점,브런치카페,"[{'""커피가 맛있어요""': 118}, {'""디저트가 맛있어요""': 113}, {'""음료가 맛있어요""': 101}, {'""인테리어가 멋져요""': 75}, {'""특별한 메뉴가 있어요""': 73}, {'""대화하기 좋아요""': 42}, {'""친절해요""': 35}, {'""집중하기 좋아요""': 34}, {'""가성비가 좋아요""': 31}, {'""사진이 잘 나와요""': 29}, {'""매장이 청결해요""': 25}, {'""메뉴 구성이 알차요""': 8}, {'""음식이 맛있어요""': 7}, {'""매장이 넓어요""': 6}, {'""화장실이 깨끗해요""': 6}, {'""뷰가 좋아요""': 6}, {'""차분한 분위기에요""': 4}, {'""좌석이 편해요""': 4}, {'""건강한 맛이에요""': 4}, {'""아늑해요""': 3}, {'""재료가 신선해요""': 2}, {'""선물하기 좋아요""': 2}, {'""오래 머무르기 좋아요""': 2}, {'""빵이 맛있어요""': 1}, {'""컨셉이 독특해요""': 1}, {'""주차하기 편해요""': 1}, {'""단체모임 하기 좋아요""': 1}]"
26,몬스터플레이스,"카페,디저트","[{'""음식이 맛있어요""': 907}, {'""가성비가 좋아요""': 537}, {'""재료가 신선해요""': 522}, {'""특별한 메뉴가 있어요""': 514}, {'""혼밥하기 좋아요""': 392}, {'""친절해요""': 302}, {'""양이 많아요""': 292}, {'""디저트가 맛있어요""': 187}, {'""매장이 청결해요""': 171}, {'""건강한 맛이에요""': 99}, {'""커피가 맛있어요""': 58}, {'""매장이 넓어요""': 45}, {'""음료가 맛있어요""': 34}, {'""대화하기 좋아요""': 32}, {'""인테리어가 멋져요""': 30}, {'""메뉴 구성이 알차요""': 20}, {'""포장이 깔끔해요""': 20}, {'""좌석이 편해요""': 13}, {'""종류가 다양해요""': 9}, {'""뷰가 좋아요""': 9}, {'""집중하기 좋아요""': 8}, {'""빵이 맛있어요""': 6}, {'""특별한 날 가기 좋아요""': 6}, {'""화장실이 깨끗해요""': 6}, {'""아늑해요""': 5}, {'""음식이 빨리 나와요""': 5}, {'""주차하기 편해요""': 4}, {'""단체모임 하기 좋아요""': 4}, {'""사진이 잘 나와요""': 2}, {'""주문제작을 잘해줘요""': 1}, {'""혼술하기 좋아요""': 1}, {'""비싼 만큼 가치있어요""': 1}]"
27,킷테,카페,"[{'""인테리어가 멋져요""': 214}, {'""커피가 맛있어요""': 172}, {'""디저트가 맛있어요""': 106}, {'""뷰가 좋아요""': 96}, {'""사진이 잘 나와요""': 80}, {'""대화하기 좋아요""': 72}, {'""친절해요""': 63}, {'""음료가 맛있어요""': 60}, {'""매장이 청결해요""': 48}, {'""특별한 메뉴가 있어요""': 44}, {'""화장실이 깨끗해요""': 23}, {'""좌석이 편해요""': 20}, {'""집중하기 좋아요""': 13}, {'""야외공간이 멋져요""': 12}, {'""차분한 분위기에요""': 10}, {'""아늑해요""': 9}, {'""가성비가 좋아요""': 4}, {'""컨셉이 독특해요""': 3}, {'""음악이 좋아요""': 3}, {'""오래 머무르기 좋아요""': 2}, {'""비싼 만큼 가치있어요""': 1}, {'""매장이 넓어요""': 1}]"
28,숙대소반,한식,"[{'""음식이 맛있어요""': 196}, {'""가성비가 좋아요""': 118}, {'""혼밥하기 좋아요""': 113}, {'""양이 많아요""': 97}, {'""친절해요""': 71}, {'""특별한 메뉴가 있어요""': 18}, {'""매장이 넓어요""': 17}, {'""재료가 신선해요""': 16}, {'""매장이 청결해요""': 15}, {'""단체모임 하기 좋아요""': 6}, {'""메뉴 구성이 알차요""': 4}, {'""주차하기 편해요""': 4}, {'""특별한 날 가기 좋아요""': 4}, {'""인테리어가 멋져요""': 3}, {'""반찬이 잘 나와요""': 2}, {'""뷰가 좋아요""': 2}, {'""화장실이 깨끗해요""': 1}]"
29,카페 퓨엔테,"카페,디저트","[{'""커피가 맛있어요""': 50}, {'""디저트가 맛있어요""': 39}, {'""음료가 맛있어요""': 36}, {'""인테리어가 멋져요""': 27}, {'""친절해요""': 21}, {'""대화하기 좋아요""': 20}, {'""매장이 청결해요""': 19}, {'""좌석이 편해요""': 14}, {'""특별한 메뉴가 있어요""': 14}, {'""사진이 잘 나와요""': 10}, {'""집중하기 좋아요""': 5}, {'""뷰가 좋아요""': 4}, {'""화장실이 깨끗해요""': 3}, {'""차분한 분위기에요""': 1}, {'""아늑해요""': 1}, {'""가성비가 좋아요""': 1}, {'""오래 머무르기 좋아요""': 1}]"
30,카페나리나무,"카페,디저트","[{'""디저트가 맛있어요""': 128}, {'""친절해요""': 88}, {'""커피가 맛있어요""': 55}, {'""가성비가 좋아요""': 40}, {'""매장이 청결해요""': 39}, {'""특별한 메뉴가 있어요""': 37}, {'""음료가 맛있어요""': 34}, {'""대화하기 좋아요""': 25}, {'""인테리어가 멋져요""': 21}, {'""음식이 맛있어요""': 14}, {'""집중하기 좋아요""': 12}, {'""좌석이 편해요""': 8}, {'""빵이 맛있어요""': 7}, {'""메뉴 구성이 알차요""': 6}, {'""주문제작을 잘해줘요""': 5}, {'""재료가 신선해요""': 5}, {'""선물하기 좋아요""': 5}, {'""사진이 잘 나와요""': 5}, {'""화장실이 깨끗해요""': 5}, {'""아늑해요""': 4}, {'""뷰가 좋아요""': 4}, {'""건강한 맛이에요""': 3}, {'""포장이 깔끔해요""': 2}, {'""매장이 넓어요""': 2}, {'""비싼 만큼 가치있어요""': 1}, {'""특별한 날 가기 좋아요""': 1}]"
31,부암동치킨,"치킨,닭강정","[{'""음식이 맛있어요""': 197}, {'""친절해요""': 53}, {'""양이 많아요""': 51}, {'""재료가 신선해요""': 46}, {'""가성비가 좋아요""': 35}, {'""단체모임 하기 좋아요""': 31}, {'""특별한 메뉴가 있어요""': 28}, {'""매장이 청결해요""': 21}, {'""매장이 넓어요""': 17}, {'""인테리어가 멋져요""': 15}, {'""화장실이 깨끗해요""': 8}, {'""주차하기 편해요""': 4}, {'""특별한 날 가기 좋아요""': 4}, {'""아늑해요""': 3}, {'""혼밥하기 좋아요""': 3}, {'""메뉴 구성이 알차요""': 1}, {'""대화하기 좋아요""': 1}, {'""뷰가 좋아요""': 1}]"
32,스타벅스 숙대점,카페,"[{'""커피가 맛있어요""': 837}, {'""음료가 맛있어요""': 492}, {'""친절해요""': 484}, {'""디저트가 맛있어요""': 306}, {'""매장이 청결해요""': 245}, {'""집중하기 좋아요""': 232}, {'""대화하기 좋아요""': 205}, {'""좌석이 편해요""': 186}, {'""화장실이 깨끗해요""': 86}, {'""인테리어가 멋져요""': 83}, {'""특별한 메뉴가 있어요""': 77}, {'""뷰가 좋아요""': 59}, {'""가성비가 좋아요""': 58}, {'""사진이 잘 나와요""': 13}, {'""매장이 넓어요""': 10}, {'""주차하기 편해요""': 9}, {'""아늑해요""': 5}, {'""차분한 분위기에요""': 3}, {'""비싼 만큼 가치있어요""': 3}, {'""혼밥하기 좋아요""': 1}, {'""오래 머무르기 좋아요""': 1}, {'""단체모임 하기 좋아요""': 1}, {'""종류가 다양해요""': 1}]"
