index,가게명,음식종류,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,양이 많아요,재료가 신선해요,특별한 메뉴가 있어요,매장이 넓어요,매장이 청결해요,인테리어가 멋져요,특별한 날 가기 좋아요,단체모임 하기 좋아요,메뉴 구성이 알차요,아늑해요,음식이 빨리 나와요,주차하기 편해요,화장실이 깨끗해요,뷰가 좋아요,음료가 맛있어요,아이와 가기 좋아요,잡내가 적어요,반려동물과 가기 좋아요,룸이 잘 되어있어요,오래 머무르기 좋아요,환기가 잘 돼요,차분한 분위기에요,코스요리가 알차요,비싼 만큼 가치있어요,반찬이 잘 나와요,대화하기 좋아요,건강한 맛이에요,음악이 좋아요,좌석이 편해요,사진이 잘 나와요,현지 맛에 가까워요,고기 질이 좋아요,샐러드바가 잘 되어있어요,혼술하기 좋아요,향신료가 강하지 않아요,야외공간이 멋져요,컨셉이 독특해요,포장이 깔끔해요,술이 다양해요,직접 잘 구워줘요,커피가 맛있어요,디저트가 맛있어요,기본 안주가 좋아요,집중하기 좋아요,빵이 맛있어요,태그 총합,FoodCategory
70,별진화로구이,"육류,고기요리",503,0,0,268,0,0,0,209,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,2862,육류
71,남영동양문 본점,"육류,고기요리",1569,573,0,734,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,8808,육류
72,원동미나리삼겹살,"육류,고기요리",660,234,0,0,191,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,3310,육류
73,다이빙룸,양식,412,0,0,257,0,0,183,0,153,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,양식
74,KFC 숙대입구점,햄버거,1715,646,691,354,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8336,양식
76,하노이별 숙대입구점,베트남음식,304,111,0,127,134,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746,아시안음식
77,철길우동까스,한식,195,104,0,80,94,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,한식
78,대관령목장,한식,102,82,0,48,41,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,한식
81,구복만두,"칼국수,만두",1332,0,0,472,0,359,531,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6102,한식
82,한강로칼국수,"칼국수,만두",717,0,0,209,271,250,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3536,한식
86,솔티드 스모크,샌드위치,38,0,0,19,17,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,샐러드
88,남산드럼통 본점,한식,451,188,0,175,126,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434,한식
91,둘이파전,한식,71,27,0,26,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,한식
92,짚신매운갈비찜 숙대점,"육류,고기요리",686,0,0,399,242,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,3646,육류
93,멘타미,일본식라면,584,0,307,225,0,0,203,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144,일식
95,청기와타운 남영점,"육류,고기요리",846,0,0,346,0,0,0,0,226,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,3950,육류
96,오복함흥냉면,냉면,598,0,118,202,0,102,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,한식
97,카페시바,퓨전음식,361,0,0,128,0,132,223,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,퓨전음식
98,하이퐁가든,베트남음식,212,0,0,68,66,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,아시안음식
100,품계,닭갈비,289,0,0,127,0,143,0,0,99,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738,한식
101,온센 용산구점,일식당,1419,0,625,832,0,736,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8940,일식
103,구구,"백숙,삼계탕",133,0,0,38,31,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,696,한식
105,옛날감자전,한식,152,25,0,40,32,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,한식
106,윤지식당,한식,46,32,0,17,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,한식
107,살팀보카,이탈리아음식,252,0,0,76,0,103,135,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,양식
108,남영탉,"치킨,닭강정",1260,0,0,695,0,431,997,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7902,한식
69,키보 에다마메,이자카야,568,0,0,298,0,0,264,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,1671,이자카야
75,이웃집영준이,요리주점,149,0,0,57,0,0,71,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,469,요리주점
79,모토카레시,이자카야,76,51,0,0,0,0,41,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,347,이자카야
83,더블랙웨일바,바(BAR),67,33,0,32,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,276,바
85,가든한밤,와인,88,37,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,와인
94,탄막,요리주점,14,0,0,8,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,139,요리주점
99,평화남영,요리주점,367,0,0,97,0,0,176,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,954,요리주점
109,소소라면 닭꼬치,"맥주,호프",252,144,86,84,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,맥주
