nickname,연인・배우자,친구,지인・동료,0_x,아이,부모님,혼자,친척・형제,기타,반려동물,고기 질이 좋아요,기본 안주가 좋아요,디저트가 맛있어요,매장이 넓어요,사진이 잘 나와요,술이 다양해요,아늑해요,양이 많아요,음료가 맛있어요,음식이 맛있어요,음악이 좋아요,인테리어가 멋져요,잡내가 적어요,재료가 신선해요,커피가 맛있어요,컨셉이 독특해요,특별한 메뉴가 있어요,건강한 맛이에요,단체모임 하기 좋아요,대화하기 좋아요,빵이 맛있어요,혼밥하기 좋아요,가격이 합리적이에요,놀거리가 많아요,매장이 청결해요,메뉴 구성이 알차요,비싼 만큼 가치있어요,친절해요,테마가 재미있어요,화장실이 깨끗해요,맛있어요,신선해요,집중하기 좋아요,반찬이 잘 나와요,현지 맛에 가까워요,0_x,뷰가 좋아요,오래 머무르기 좋아요,종류가 다양해요,차분한 분위기에요,독특한 책이 많아요,베스트셀러가 많아요,시설이 깔끔해요,음식이 빨리 나와요,주차하기 편해요,직접 잘 구워줘요,카페 같은 분위기에요,특별한 날 가기 좋아요,혼술하기 좋아요,주문제작을 잘해줘요,야외공간이 멋져요,좌석이 편해요,감각적이에요,꽃 조합이 예뻐요,포장이 정성스러워요,차가 맛있어요,코스요리가 알차요,포장이 깔끔해요,반려동물과 가기 좋아요,라이브공연이 훌륭해요,룸이 잘 되어있어요,부위가 다양해요,원산지 표시가 명확해요,특색 있는 제품이 많아요,식사하기 좋아요,아이와 가기 좋아요,샐러드바가 잘 되어있어요,클럽하우스가 잘 되어있어요,필드 상태가 좋아요,깨끗해요,방음이 잘돼요,조용히 쉬기 좋아요,산책로가 잘 되어있어요,품질이 좋아요,향신료가 강하지 않아요,규모가 커요,방문객이 많아요,술집,식당,카페,예약 없이 이용,예약 후 이용,0_y,30,45,60,120
황도0809,0,6,0,0,0,14,28,4,0,0,4,0,9,7,0,0,7,12,2,28,0,17,0,9,18,1,20,0,4,3,2,12,0,0,0,10,0,22,0,0,0,0,4,4,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,43,7,48,0,2,0,0
빼코빼코,0,26,7,0,0,3,14,0,0,0,0,0,10,5,0,3,0,0,2,35,0,2,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,2,42,6,48,0,0,0,0
Reenfldos,0,20,0,25,0,0,5,0,0,0,0,0,5,0,0,0,0,0,15,25,0,10,0,5,10,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,45,0,45,0,0,0,0
꿀맥주,40,0,4,0,0,2,4,0,0,0,2,0,6,0,0,0,0,0,0,37,0,2,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,5,50,0,48,0,2,0,0
순진한깜박,40,4,0,0,0,0,6,0,0,0,0,0,6,16,6,0,2,14,2,40,0,6,0,6,6,0,10,6,4,6,2,18,0,0,14,6,0,22,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,2,46,0,42,4,0,0,0
A8뜨뚜,37,4,0,0,0,6,3,0,0,0,2,0,9,0,0,0,0,7,2,33,0,13,0,2,0,0,7,0,0,2,2,4,0,0,2,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,11,42,8,49,1,0,0,0
쿨제이95,0,10,23,0,0,0,11,0,6,0,2,2,0,0,0,3,0,18,0,45,0,0,0,5,0,0,4,0,0,0,0,0,0,0,30,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,0,38,11,47,0,2,0,0
차차는,0,0,46,0,0,2,2,0,0,0,6,2,2,8,8,10,7,10,2,26,0,19,3,14,6,6,14,4,2,6,0,0,0,0,6,0,0,17,0,2,0,0,0,4,0,0,4,2,0,2,0,0,0,2,0,2,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,36,6,38,2,2,0,0
리뷰꾸르잼,36,3,4,0,0,1,6,0,0,0,3,0,12,14,7,2,2,5,0,17,0,19,2,5,17,2,27,8,2,27,4,2,0,0,0,15,1,0,0,0,0,0,7,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,4,41,2,40,2,1,0,0
섹쉬올리브,13,0,7,27,0,0,3,0,0,0,4,0,4,3,3,0,0,6,5,26,0,4,0,7,2,0,7,1,0,11,6,0,1,0,8,0,0,30,0,2,0,0,0,0,2,0,7,0,0,0,0,0,0,0,11,0,0,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,21,2,23,0,0,0,0
